|trigger_num|name       |t90     |t90_error|fluence_2 |fluence_2_error|fluence_3 |fluence_3_error|
|      06491|GRB 971122-|   2.048|    1.448|          |               |          |               |
|      05536|4B 960710  |   0.048|    0.011|6.0169e-09|     1.0730e-09|2.1690e-08|     2.8467e-09|
|      06104|GRB 970227-|  11.904|    1.223|2.8531e-07|     1.4228e-08|2.4926e-07|     3.4839e-08|
|      02123|4B 930108  |  21.952|    0.979|1.5954e-06|     2.1484e-08|2.8498e-06|     5.1061e-08|
|      06355|GRB 970902-|  29.184|    2.841|3.1686e-07|     2.0735e-08|6.2479e-07|     6.1375e-08|
|      06695|GRB 980421-|  35.776|    2.757|1.5521e-07|     2.7891e-08|9.0550e-07|     9.1543e-08|
|      02993|4B 940526- |  44.800|    1.090|1.2239e-06|     2.5851e-08|6.5159e-06|     7.3592e-08|
|      07619|GRB 990625 |  41.728|   10.864|2.8064e-07|     1.8851e-08|5.4315e-07|     5.7494e-08|
|      00803|4B 910918  |   7.232|    0.345|2.7363e-07|     2.0753e-08|7.9600e-07|     4.9419e-08|
|      03051|4B 940628  |   0.136|    0.017|1.8527e-09|     1.5594e-09|2.4958e-08|     5.1431e-09|
|      05625|GRB 961006-|        |         |          |               |          |               |
|      02204|4B 930219- |  23.040|    2.073|1.5473e-07|     1.7394e-08|3.3309e-07|     4.8249e-08|
|      08076|GRB 000415-|   0.218|    0.067|3.8264e-09|     3.0727e-09|8.2577e-08|     8.6851e-09|
|      01485|4B 920315- |        |         |2.8343e-07|     2.5490e-08|5.0284e-07|     5.8697e-08|
|      07432|GRB 990227 |  15.680|    4.284|1.8010e-07|     1.3673e-08|3.8612e-07|     3.8027e-08|
|      02828|4B 940216  |   0.581|    0.130|1.2898e-08|     3.3998e-09|8.3514e-08|     8.9796e-09|
|      02682|4B 931208- |        |         |          |               |          |               |
|      03035|4B 940619  |  88.448|    0.500|6.9521e-06|     4.1628e-08|2.2939e-05|     1.1497e-07|
|      07617|GRB 990622-|  48.832|    5.850|9.0242e-07|     4.0209e-08|3.4296e-06|     1.3149e-07|
|      04368|4B 960114  |  36.480|    0.091|3.2285e-05|     5.6340e-08|7.4763e-05|     1.3115e-07|
|      06708|GRB 980426-|  12.160|    1.537|1.8894e-07|     1.0232e-08|1.0452e-06|     3.2746e-08|
|      06220|GRB 970504-|        |         |          |               |          |               |
|      03127|4B 940816  |  13.088|    1.056|3.9091e-07|     2.9275e-08|2.0493e-07|     7.0600e-08|
|      01413|4B 920218- |        |         |7.1336e-07|     2.9561e-08|1.2393e-06|     6.0379e-08|
|      05305|4B 960322- |  31.584|    4.533|3.6860e-07|     2.2194e-08|2.9587e-07|     5.5473e-08|
|      05631|GRB 961014 |        |         |2.6604e-06|     4.2315e-08|3.7486e-06|     1.0597e-07|
|      07760|GRB 990909 |        |         |          |               |          |               |
|      01223|4B 911226  |   0.974|    0.451|2.3097e-08|     8.6109e-09|3.6174e-08|     1.6342e-08|
|      05492|4B 960610  | 148.480|    1.590|3.3698e-07|     2.6121e-08|1.4486e-06|     8.0246e-08|
|      06307|GRB 970714-|   1.984|    0.834|3.7193e-08|     4.1484e-09|3.0798e-07|     1.3773e-08|
|      01318|4B 920127  | 185.856|    7.707|3.2616e-07|     4.1180e-08|7.0175e-07|     1.0074e-07|
|      00816|4B 910925  |  90.944|    3.238|6.7937e-07|     5.0132e-08|6.4290e-07|     1.5826e-07|
|      03137|4B 940825  |   0.064|    0.011|4.8619e-09|     1.6701e-09|2.7750e-08|     4.7207e-09|
|      06611|GRB 980222-|  10.048|    1.620|2.3797e-07|     1.2849e-08|4.3056e-07|     3.7062e-08|
|      06333|GRB 970810 |        |         |          |               |          |               |
|      07938|GRB 000107-| 294.784|    6.039|3.5051e-06|     9.4269e-08|9.8131e-06|     2.4518e-07|
|      01983|4B 921009  |        |         |          |               |          |               |
|      02310|4B 930420- |  26.912|    1.448|2.1369e-07|     2.7657e-08|5.6602e-07|     6.8010e-08|
|      00974|4B 911031- |   3.200|    1.118|4.4395e-08|     1.2384e-08|1.1999e-07|     3.3106e-08|
|      05624|GRB 961006-| 116.544|    3.974|1.8367e-06|     6.8405e-08|7.6236e-06|     1.9137e-07|
|      05995|GRB 970202 |  26.688|    1.056|5.0672e-06|     3.5396e-08|3.3960e-05|     1.1951e-07|
|      06514|GRB 971130-|        |         |          |               |          |               |
|      07732|GRB 990823 |        |         |          |               |          |               |
|      05609|GRB 960921-|        |         |          |               |          |               |
|      05716|GRB 961218-|  62.784|    3.535|4.0704e-07|     3.1564e-08|6.6170e-07|     8.5738e-08|
|      07941|GRB 000109 |        |         |          |               |          |               |
|      05479|4B 960531- | 137.344|    9.486|1.7331e-06|     2.9269e-08|4.1512e-06|     8.6374e-08|
|      07381|GRB 990210-|   9.664|    8.446|6.4399e-08|     1.1670e-08|1.6083e-07|     2.9360e-08|
|      01549|4B 920411- |        |         |          |               |          |               |
|      01110|4B 911122  |        |         |2.5664e-07|     1.7320e-08|7.9485e-07|     4.5728e-08|
|      01807|4B 920813  |  58.048|    3.525|1.7871e-06|     2.1193e-08|4.4944e-06|     5.3089e-08|
|      07361|GRB 990129-|   1.856|    0.345|1.4975e-08|     4.1524e-09|7.8501e-08|     1.1873e-08|
|      00764|4B 910907  |  20.800|    1.319|7.0873e-07|     2.6635e-08|1.2186e-06|     5.8504e-08|
|      02864|4B 940307  |  30.944|    3.851|4.9725e-07|     3.2200e-08|1.6386e-06|     8.4875e-08|
|      02932|4B 940415- |   9.120|    1.243|4.8541e-07|     3.0575e-08|1.2249e-06|     7.1015e-08|
|      01716|4B 920721- |        |         |          |               |          |               |
|      02230|4B 930309- |   7.360|    2.166|8.1441e-08|     1.6787e-08|2.1062e-07|     4.4207e-08|
|      03937|4B 951208- |        |         |          |               |          |               |
|      03284|4B 941115  |   5.056|    1.180|3.9291e-08|     1.0714e-08|1.7544e-07|     3.0463e-08|
|      02045|4B 921110- |        |         |          |               |          |               |
|      03530|4B 950502  |   1.600|    0.091|6.7801e-08|     5.0348e-09|5.2348e-08|     1.0960e-08|
|      07385|GRB 990213-|        |         |          |               |          |               |
|      07566|GRB 990515 |  28.480|    4.042|3.1940e-07|     1.9426e-08|1.0287e-06|     5.3544e-08|
|      07752|GRB 990904-|   8.640|    3.137|3.0656e-07|     1.0727e-08|1.1193e-06|     2.9635e-08|
|      06756|GRB 980512 |        |         |          |               |          |               |
|      03410|4B 950210  |   0.116|    0.006|1.3063e-07|     3.4227e-09|3.9982e-07|     7.8596e-09|
|      00237|4B 910529  |  40.512|    3.529|8.2897e-08|     1.4072e-08|3.8104e-07|     2.7795e-08|
|      01679|4B 920628- |   4.544|    0.889|7.9391e-08|     1.2301e-08|1.4112e-07|     2.9863e-08|
|      06796|GRB 980530-|  21.312|    2.021|2.1360e-07|     1.7851e-08|4.8030e-07|     5.2225e-08|
|      07651|GRB 990713-|        |         |          |               |          |               |
|      03908|4B 951116  |  13.920|    1.243|1.2946e-07|     1.7675e-08|4.3866e-07|     5.0214e-08|
|      07248|GRB 981203-|        |         |          |               |          |               |
|      05439|4B 960420  |   4.544|    0.143|1.0253e-07|     5.7019e-09|4.3737e-07|     1.5404e-08|
|      00692|4B 910818  |  62.528|    1.741|1.2891e-06|     5.5680e-08|1.6319e-06|     1.2080e-07|
|      07576|GRB 990519 |  31.360|   10.673|1.8910e-07|     1.8496e-08|5.1290e-07|     6.0966e-08|
|      02596|4B 931021- |        |         |          |               |          |               |
|      06648|GRB 980319 |  88.384|   23.877|3.6469e-07|     2.7850e-08|1.7639e-06|     7.5826e-08|
|      07876|GRB 991123-|        |         |7.2342e-09|     3.7538e-09|3.6426e-08|     9.6036e-09|
|      05485|4B 960604  |   3.840|    0.890|3.4263e-08|     6.4836e-09|1.1840e-07|     1.7042e-08|
|      07447|GRB 990304-|   0.392|    0.262|2.7219e-08|     3.8451e-09|9.2150e-08|     9.9139e-09|
|      03588|4B 950521  |  57.888|    0.890|2.0769e-06|     3.8156e-08|3.0658e-06|     1.1337e-07|
|      05627|GRB 961009-|   7.616|    3.178|8.0269e-08|     1.0442e-08|1.0478e-07|     2.8574e-08|
|      07818|GRB 991023 |  42.752|    4.864|5.3625e-07|     2.2981e-08|1.8761e-06|     6.7240e-08|
|      01025|4B 911109  |   2.624|    0.143|1.4241e-06|     2.3488e-08|2.9873e-06|     4.9722e-08|
|      06180|GRB 970414-|   0.896|    0.091|2.1322e-08|     4.1050e-09|6.3728e-08|     1.1180e-08|
|      08053|GRB 000326-|   1.918|    1.024|          |               |          |               |
|      01492|4B 920318- |   4.096|    0.373|1.3512e-07|     1.2815e-08|8.8315e-08|     2.8955e-08|
|      01675|4B 920627- |        |         |          |               |          |               |
|      06103|GRB 970226-|  49.408|    1.549|1.3844e-06|     3.0798e-08|4.5023e-06|     9.4877e-08|
|      07549|GRB 990506-| 130.048|    0.091|1.9033e-05|     5.9082e-08|5.1640e-05|     1.5398e-07|
|      02929|4B 940414- |  42.752|    0.453|3.6985e-06|     3.3641e-08|1.6923e-05|     9.0174e-08|
|      01680|4B 920629  |   0.128|    0.453|3.6931e-09|     1.4615e-09|2.3946e-08|     4.4759e-09|
|      07116|GRB 980924 |  20.224|   11.195|2.0417e-07|     1.0464e-08|6.7283e-08|     2.3603e-08|
|      02207|4B 930221  |   3.200|    0.462|8.5931e-08|     1.7932e-08|1.3410e-07|     4.1380e-08|
|      01148|4B 911205  |  49.344|    3.014|7.8446e-07|     3.9433e-08|4.2091e-06|     9.3986e-08|
|      02040|4B 921102- |   1.112|    0.193|4.5786e-08|     1.2618e-08|1.2630e-07|     3.4897e-08|
|      02564|4B 931005  |   0.256|    0.091|1.7322e-08|     1.1974e-08|1.0745e-07|     3.1838e-08|
|      02106|4B 921227  |  26.048|    0.634|9.1901e-07|     2.1450e-08|3.8288e-06|     5.9813e-08|
|      07490|GRB 990323-|        |         |          |               |          |               |
|      02532|4B 930916- |        |         |          |               |          |               |
|      05461|4B 960515  |   1.408|    0.143|4.0334e-08|     6.7692e-09|2.5107e-07|     2.0395e-08|
|      05608|GRB 960921-|   9.280|    0.771|2.8672e-07|     1.6952e-08|1.1996e-06|     5.0018e-08|
|      02998|4B 940529- |  33.056|    9.567|8.5556e-07|     3.4457e-08|1.1528e-06|     8.3607e-08|
|      00138|4B 910502- |   0.315|    0.023|1.7829e-08|     3.0396e-09|5.8935e-08|     7.4537e-09|
|      00508|4B 910710  |   0.896|    0.373|0.0000e+00|     7.4470e-09|7.4761e-08|     1.3279e-08|
|      03072|4B 940711  |   8.704|    1.527|3.2879e-07|     4.0889e-08|9.0428e-07|     8.8543e-08|
|      02748|4B 940108  |   0.384|    0.091|1.4659e-08|     2.9181e-09|5.3220e-08|     8.2131e-09|
|      01851|4B 920818  |   1.152|    0.320|3.6373e-08|     1.1856e-08|1.3479e-07|     3.1125e-08|
|      03121|4B 940812- |   0.792|    0.064|1.6252e-08|     3.3019e-09|1.3700e-07|     9.6976e-09|
|      05462|4B 960516- |        |         |1.6479e-08|     5.2820e-09|5.5455e-08|     1.4964e-08|
|      06568|GRB 980112-|        |         |          |               |          |               |
|      05473|4B 960524- |  80.640|    3.083|1.8721e-06|     3.3262e-08|7.1849e-06|     1.0308e-07|
|      03253|4B 941020- |  56.000|    0.143|          |               |          |               |
|      06670|GRB 980331-|  40.320|    2.841|1.7046e-07|     1.6770e-08|1.1837e-06|     4.8196e-08|
|      07817|GRB 991022 |        |         |          |               |          |               |
|      06161|GRB 970406-|        |         |          |               |          |               |
|      06411|GRB 971004-|   6.464|    2.233|2.7350e-08|     4.3391e-09|5.5104e-08|     1.1616e-08|
|      07185|GRB 981031 | 147.456|    0.453|4.4270e-06|     5.1531e-08|6.4041e-06|     1.2642e-07|
|      07551|GRB 990507-| 119.616|   12.521|3.3994e-07|     1.9205e-08|4.1077e-07|     5.4125e-08|
|      07281|GRB 981226 |   1.664|    0.143|4.4451e-07|     7.4906e-09|1.2429e-06|     1.9651e-08|
|      03870|4B 951016- |   8.448|    0.326|1.7633e-06|     1.7256e-08|3.6776e-06|     4.4185e-08|
|      00729|4B 910827  |   0.183|    0.031|3.6999e-09|     2.1466e-09|4.3709e-08|     5.6884e-09|
|      02330|4B 930506- |   0.804|    0.009|4.9015e-08|     3.4344e-09|3.2754e-07|     9.1762e-09|
|      07787|GRB 991004-|        |         |          |               |          |               |
|      03240|4B 941013  |        |         |          |               |          |               |
|      07353|GRB 990126-|   0.249|    0.004|4.2761e-08|     3.5752e-09|4.5934e-07|     1.4233e-08|
|      02306|4B 930416  |  21.120|    8.257|2.4531e-07|     1.7077e-08|7.5998e-07|     4.4114e-08|
|      03269|4B 941031- |  13.888|    0.516|4.1968e-07|     1.4415e-08|3.0032e-06|     4.9591e-08|
|      03356|4B 950114- |   5.952|    0.910|3.9367e-07|     1.4364e-08|7.2040e-07|     3.6332e-08|
|      07294|GRB 990102-|   0.154|    0.012|7.2945e-09|     3.6865e-09|1.5413e-07|     1.2723e-08|
|      08050|GRB 000324 |   3.904|    0.516|4.2269e-07|     1.1208e-08|5.3029e-07|     2.9018e-08|
|      06285|GRB 970628-|  43.264|    3.057|6.9356e-07|     3.3435e-08|1.6500e-06|     8.7848e-08|
|      06668|GRB 980330 |   0.116|    0.006|1.5783e-07|     5.2016e-09|9.3278e-07|     1.5192e-08|
|      03663|4B 950711  | 204.416|    0.264|2.7116e-06|     4.1789e-08|8.8385e-06|     1.2334e-07|
|      03932|4B 951205  |        |         |          |               |          |               |
|      02856|4B 940302  | 119.872|    0.143|1.6637e-05|     7.1948e-08|1.2213e-04|     2.3596e-07|
|      06967|GRB 980805 |        |         |          |               |          |               |
|      06137|GRB 970326-|   8.384|    2.073|3.5608e-08|     9.4344e-09|1.8129e-07|     2.8005e-08|
|      02466|4B 930727- |        |         |          |               |          |               |
|      06570|GRB 980113 |        |         |2.4616e-06|     2.4754e-08|6.4058e-06|     7.9233e-08|
|      07827|GRB 991028 |   2.267|    4.498|1.1989e-08|     3.3024e-09|4.6147e-08|     8.9003e-09|
|      03002|4B 940529- |        |         |          |               |          |               |
|      01631|4B 920531  |        |         |          |               |          |               |
|      03056|4B 940702  |  36.320|    1.319|3.2305e-06|     5.5224e-08|7.5416e-06|     1.4087e-07|
|      05488|4B 960607- |   0.192|    0.045|5.9426e-09|     1.6638e-09|4.0882e-08|     5.0309e-09|
|      06380|GRB 970912-|  65.600|    2.463|2.2863e-06|     4.2289e-08|8.5996e-06|     1.3608e-07|
|      05604|GRB 960913-|  15.680|    0.181|6.6548e-07|     1.4493e-08|4.0608e-06|     4.6255e-08|
|      06534|GRB 971216 |   4.352|    1.223|8.1287e-08|     7.4737e-09|1.3724e-07|     1.9099e-08|
|      01703|4B 920717- |        |         |          |               |          |               |
|      03502|4B 950410  |   0.416|    0.023|2.4342e-08|     3.5054e-09|1.9679e-07|     1.0591e-08|
|      02924|4B 940413- | 137.088|    1.958|1.2108e-06|     4.8177e-08|2.8030e-06|     1.1859e-07|
|      06830|GRB 980617-|  28.352|    3.238|3.5103e-07|     1.6802e-08|7.9891e-07|     5.1653e-08|
|      02756|4B 940113  |        |         |          |               |          |               |
|      06127|GRB 970317-|  70.080|    7.938|2.3632e-07|     2.7224e-08|1.3439e-06|     7.3678e-08|
|      02662|4B 931127  |  16.128|    0.854|5.8325e-07|     2.7259e-08|1.9524e-06|     7.1408e-08|
|      07133|GRB 980929 |   1.079|    0.370|8.2943e-08|     4.0347e-09|4.2567e-07|     1.2573e-08|
|      05123|4B 960304  |        |         |9.0604e-09|     4.6956e-09|2.8155e-08|     1.0939e-08|
|      06135|GRB 970324 |   4.032|    0.653|2.3025e-08|     7.1721e-09|2.8648e-07|     2.2615e-08|
|      01141|4B 911202- |  20.096|    0.516|4.2653e-06|     2.8143e-08|1.0491e-05|     5.6710e-08|
|      00109|4B 910425- |  90.176|    0.286|7.3080e-06|     4.9525e-08|1.7653e-05|     1.2098e-07|
|      00815|4B 910923  |  25.408|    2.485|6.4012e-07|     3.9138e-08|7.7324e-07|     9.2333e-08|
|      07533|GRB 990426 |   9.600|    4.932|1.3636e-07|     1.0966e-08|3.5439e-07|     2.9244e-08|
|      06216|GRB 970501 |   2.432|    0.143|2.8816e-07|     7.5475e-09|4.4195e-07|     2.0846e-08|
|      07795|GRB 991011-| 120.000|   23.424|4.3422e-07|     3.2534e-08|6.8451e-07|     8.6601e-08|
|      00938|4B 911026  |  30.976|    1.382|6.3679e-07|     1.9764e-08|9.7069e-07|     4.8695e-08|
|      02325|4B 930503- |  22.528|    0.653|2.8736e-08|     2.4620e-08|3.9642e-07|     6.7211e-08|
|      02947|4B 940425- |  21.920|    1.793|5.8377e-07|     2.8531e-08|8.6428e-07|     6.8083e-08|
|      01687|4B 920707  |  32.384|    8.693|2.4412e-07|     1.8082e-08|3.6671e-07|     4.4283e-08|
|      07329|GRB 990117-|   3.136|    0.202|1.8131e-07|     7.6329e-09|2.1735e-06|     2.9250e-08|
|      03439|4B 950223  | 150.784|    1.669|1.0486e-06|     4.0810e-08|2.5036e-06|     1.0663e-07|
|      02848|4B 940226- |   7.232|    1.012|2.0230e-07|     1.9693e-08|4.5862e-07|     5.4635e-08|
|      02966|4B 940507  |   0.312|    0.011|1.3083e-08|     1.7077e-09|2.6747e-08|     4.6389e-09|
|      05736|GRB 970101 |  79.168|    8.383|4.8962e-07|     4.6393e-08|5.1616e-07|     1.2229e-07|
|      05379|4B 960330  |  11.328|    0.320|1.9458e-07|     1.1215e-08|1.2161e-06|     3.4644e-08|
|      06710|GRB 980427 |   1.088|    0.202|1.5282e-08|     5.2105e-09|1.1908e-07|     1.4563e-08|
|      03894|4B 951104- |   1.483|    0.311|1.5298e-08|     4.8651e-09|7.2026e-08|     1.1948e-08|
|      02623|4B 931110  |   3.392|    0.143|1.7376e-07|     1.6475e-08|9.6195e-07|     4.6962e-08|
|      05718|GRB 961218-|   8.768|    0.932|9.6118e-08|     1.0311e-08|8.5228e-08|     2.5091e-08|
|      02167|4B 930206- |   0.128|    0.091|1.9836e-08|     2.0236e-09|1.0649e-07|     5.6561e-09|
|      02318|4B 930426- |        |         |          |               |          |               |
|      03916|4B 951121  | 115.456|    8.768|1.4722e-06|     3.0428e-08|3.2987e-06|     8.5397e-08|
|      01145|4B 911204  |  32.192|    4.207|1.4455e-07|     9.6584e-09|1.9288e-07|     2.3756e-08|
|      03608|4B 950530  |  16.896|    1.921|3.5136e-07|     1.3921e-08|1.1702e-06|     3.5728e-08|
|      05715|GRB 961216 |  20.992|    3.200|7.1231e-07|     2.7980e-08|6.9915e-07|     6.9031e-08|
|      01046|4B 911111- | 114.368|    2.896|1.5240e-06|     5.4778e-08|2.3126e-06|     1.0728e-07|
|      06659|GRB 980326-|   0.200|    0.010|5.1580e-08|     5.7738e-09|1.6726e-07|     1.5489e-08|
|      02134|4B 930114- |        |         |          |               |          |               |
|      04653|4B 960129- |  51.680|    1.280|9.0519e-07|     4.8863e-08|1.6603e-06|     1.2445e-07|
|      06298|GRB 970708-|   9.984|    3.259|9.0338e-08|     1.0333e-08|9.2983e-08|     3.0631e-08|
|      07077|GRB 980910-|        |         |          |               |          |               |
|      03649|4B 950625  |  26.496|    3.937|1.2683e-06|     8.7386e-08|3.5297e-06|     2.2983e-07|
|      02915|4B 940407- |        |         |          |               |          |               |
|      01152|4B 911208- | 274.880|    4.108|2.3726e-07|     2.3885e-08|6.4358e-07|     6.9357e-08|
|      01129|4B 911129- |   0.960|    0.264|1.6583e-08|     3.2218e-09|5.4857e-08|     7.4654e-09|
|      06563|GRB 980108 |        |         |          |               |          |               |
|      07786|GRB 991004-|  29.696|    1.665|5.2887e-07|     2.0564e-08|1.0842e-06|     5.2039e-08|
|      01484|4B 920315- |        |         |1.2777e-06|     1.9496e-08|3.5434e-06|     4.9157e-08|
|      01085|4B 911118- |  19.200|    0.181|1.2640e-05|     3.7535e-08|2.7852e-05|     8.2227e-08|
|      03606|4B 950529  |   1.824|    0.066|9.0174e-08|     6.1463e-09|6.9124e-07|     1.8203e-08|
|      03657|4B 950701- |        |         |          |               |          |               |
|      02140|4B 930121- |  19.072|    4.834|3.3848e-07|     1.7440e-08|4.5571e-07|     4.2095e-08|
|      01288|4B 920110- | 318.592|    2.052|5.5446e-06|     5.5655e-08|2.3250e-05|     1.5285e-07|
|      02941|4B 940421  |        |         |          |               |          |               |
|      01912|4B 920908  |        |         |          |               |          |               |
|      01886|4B 920902- | 275.712|    2.057|3.3918e-06|     2.5313e-08|2.1485e-05|     8.0815e-08|
|      03866|4B 951014- |   4.224|    1.026|2.5767e-07|     8.9301e-09|1.2109e-06|     2.5103e-08|
|      00841|4B 910930- |  17.408|    0.516|1.0608e-06|     2.0485e-08|1.8087e-06|     4.5565e-08|
|      02298|4B 930410  |  70.016|    4.184|8.6897e-07|     2.8796e-08|2.6142e-06|     7.3601e-08|
|      05458|4B 960512  |   0.024|    0.011|6.5391e-09|     1.0800e-09|9.1053e-09|     2.5451e-09|
|      03193|4B 940925  |  64.064|   16.515|7.6891e-07|     2.5961e-08|2.3253e-06|     7.6337e-08|
|      05389|4B 960331- |  23.744|    0.202|1.2695e-06|     1.9825e-08|3.4098e-06|     5.2197e-08|
|      08098|GRB 000508-| 136.192|    4.238|5.6092e-06|     8.4297e-08|1.1711e-05|     1.9895e-07|
|      07586|GRB 990527-|        |         |          |               |          |               |
|      02148|4B 930127- |  61.376|    2.631|3.9863e-07|     2.4090e-08|1.0625e-06|     5.7948e-08|
|      02833|4B 940218  |        |         |          |               |          |               |
|      06912|GRB 980708 |        |         |          |               |          |               |
|      00111|4B 910426  |  98.176|    2.262|1.8851e-06|     4.5079e-08|2.0220e-06|     8.8778e-08|
|      05989|GRB 970201-|  26.944|    0.326|3.6230e-06|     2.3573e-08|5.5230e-06|     5.3282e-08|
|      01159|4B 911210  |  18.240|    2.560|2.4416e-07|     9.2817e-09|1.0316e-06|     2.9130e-08|
|      08033|GRB 000313-|        |         |          |               |          |               |
|      07547|GRB 990504 |   1.011|    0.100|4.2747e-08|     4.3416e-09|1.6090e-07|     1.2901e-08|
|      07534|GRB 990427 |        |         |          |               |          |               |
|      03930|4B 951203  | 172.736|   27.264|3.9461e-06|     3.1655e-08|2.4032e-05|     1.0236e-07|
|      05410|4B 960404  |        |         |4.3992e-07|     3.6790e-08|6.3167e-07|     8.8106e-08|
|      03078|4B 940714- |   0.224|    0.033|8.4309e-09|     2.1446e-09|1.0784e-07|     7.0581e-09|
|      06552|GRB 971230-|  22.592|    7.617|3.1549e-07|     1.7033e-08|5.0108e-07|     5.1069e-08|
|      02254|4B 930318- |   5.440|    0.516|1.8870e-07|     1.4162e-08|6.3805e-07|     3.4844e-08|
|      06147|GRB 970330-|  32.832|    1.090|8.9821e-07|     2.5824e-08|1.3728e-06|     7.3755e-08|
|      07359|GRB 990129-|   0.448|    0.091|4.7558e-09|     3.1588e-09|2.4658e-08|     1.0155e-08|
|      07788|GRB 991004-|  77.376|    1.601|2.3521e-06|     3.2692e-08|7.1786e-06|     9.4111e-08|
|      07502|GRB 990403-|  82.880|    2.009|1.6417e-06|     3.6227e-08|3.7776e-06|     9.6756e-08|
|      02431|4B 930706- |   2.776|    0.129|2.3998e-06|     2.4198e-08|6.7841e-06|     6.4104e-08|
|      03940|4B 951211- |   0.576|    0.091|4.9347e-08|     3.6549e-09|1.7976e-07|     9.5008e-09|
|      02255|4B 930318- |        |         |2.5969e-06|     2.4002e-08|6.8719e-06|     5.9440e-08|
|      06745|GRB 980508-| 134.656|    4.906|9.5841e-07|     4.5237e-08|2.0988e-06|     1.1464e-07|
|      07252|GRB 981210 |        |         |          |               |          |               |
|      07428|GRB 990225-|   1.728|    1.218|          |               |          |               |
|      01462|4B 920303- |        |         |2.0547e-07|     1.1332e-08|5.6207e-07|     3.7615e-08|
|      02593|4B 931019- |  29.888|    1.094|7.1792e-07|     2.5261e-08|1.2064e-06|     7.1337e-08|
|      06814|GRB 980609-|  19.264|    1.639|6.5708e-07|     1.4647e-08|1.5444e-06|     3.7610e-08|
|      06660|GRB 980326-|        |         |          |               |          |               |
|      00551|4B 910718- |   0.250|    0.109|4.0115e-08|     4.4448e-09|2.1869e-07|     1.0505e-08|
|      05713|GRB 961214 |  50.432|    2.680|3.9355e-07|     2.7360e-08|1.0128e-06|     7.5656e-08|
|      03295|4B 941125  |        |         |          |               |          |               |
|      07518|GRB 990413 |  12.736|    0.453|4.8959e-07|     1.6340e-08|2.8428e-06|     4.8915e-08|
|      06281|GRB 970627-|   3.072|    0.707|4.1785e-09|     3.2588e-09|5.5271e-08|     8.9474e-09|
|      05556|4B 960731- |   1.511|    0.109|6.0206e-08|     5.2232e-09|1.4857e-07|     1.4578e-08|
|      07762|GRB 990912 |  21.632|    1.498|8.0079e-07|     2.2214e-08|1.3285e-06|     5.8727e-08|
|      01558|4B 920419- |  27.584|    8.404|1.7048e-07|     1.4427e-08|4.4960e-07|     3.7789e-08|
|      02694|4B 931215- |        |         |          |               |          |               |
|      02384|4B 930609- |   0.192|    0.091|9.8302e-09|     1.5388e-09|1.7269e-08|     4.1121e-09|
|      07322|GRB 990112 |  60.480|    6.152|3.9807e-07|     2.4217e-08|1.3784e-06|     6.1935e-08|
|      07614|GRB 990620-|  18.432|    0.834|6.0802e-07|     2.1773e-08|2.1259e-06|     5.2119e-08|
|      03321|4B 941215- |  22.912|    1.120|9.7315e-08|     1.0193e-08|4.8840e-07|     2.7713e-08|
|      05464|4B 960516- |  28.864|    2.041|5.5693e-07|     1.9841e-08|2.7357e-06|     5.6511e-08|
|      07979|GRB 000202 |   2.668|    0.405|2.2564e-08|     4.7307e-09|1.8560e-07|     1.5392e-08|
|      07798|GRB 991011-|  10.432|    2.625|7.3549e-08|     9.3548e-09|3.0541e-07|     2.5896e-08|
|      06782|GRB 980525 |  39.680|    2.433|2.0303e-08|     4.0000e-09|9.5680e-08|     1.1196e-08|
|      02312|4B 930421- |   0.272|    0.133|1.0532e-08|     3.0200e-09|1.0435e-07|     8.4254e-09|
|      06543|GRB 971222 |   1.664|    0.091|8.6049e-09|     4.1404e-09|6.4902e-08|     1.3957e-08|
|      01643|4B 920610  |   4.224|    2.166|          |               |          |               |
|      03178|4B 940921- |  39.936|    4.352|3.3291e-06|     2.6499e-08|1.6749e-05|     8.1031e-08|
|      01577|4B 920502- |        |         |          |               |          |               |
|      01213|4B 911224- |  20.224|    0.910|1.0978e-07|     1.5949e-08|5.7666e-07|     4.1702e-08|
|      06233|GRB 970516 |   4.864|    1.921|2.5064e-08|     6.1190e-09|1.7211e-08|     1.4302e-08|
|      06587|GRB 980203-|  23.040|    0.143|1.2723e-05|     4.6351e-08|5.7519e-05|     1.3853e-07|
|      03637|4B 950610  |  13.184|    0.516|7.4846e-07|     1.6605e-08|2.4743e-06|     4.9549e-08|
|      06207|GRB 970424-|        |         |1.9810e-06|     4.4889e-08|4.8896e-06|     1.2205e-07|
|      03115|4B 940810  |  45.312|    0.143|2.3935e-06|     3.8265e-08|1.2340e-05|     1.0881e-07|
|      02701|4B 931221- |   0.636|    0.405|1.4666e-08|     3.0358e-09|6.7284e-08|     8.6526e-09|
|      02661|4B 931126- |        |         |          |               |          |               |
|      06369|GRB 970907-|  29.312|    2.176|4.2528e-07|     2.9161e-08|8.3733e-07|     9.1922e-08|
|      03768|4B 950822- |  51.104|    5.538|5.9079e-07|     2.1906e-08|7.0801e-07|     5.8044e-08|
|      01991|4B 921017  |  70.912|    3.845|1.7474e-07|     2.5660e-08|0.0000e+00|     5.6852e-08|
|      00755|4B 910904  |   6.464|    0.373|6.9535e-08|     1.1450e-08|1.8988e-07|     2.3492e-08|
|      06416|GRB 971007 |        |         |          |               |          |               |
|      03140|4B 940827- |        |         |          |               |          |               |
